Date,Adjusted
2020-09-22,42.6902465820312
2020-09-23,41.4437522888184
2020-09-24,41.8649749755859
2020-09-25,41.8821640014648
2020-09-28,42.3635673522949
2020-09-29,42.0541000366211
2020-09-30,42.4409370422363
2020-10-01,42.2776031494141
2020-10-02,42.4323577880859
2020-10-05,42.4495429992676
2020-10-06,42.0712928771973
2020-10-07,42.6042785644531
2020-10-08,43.3779602050781
2020-10-09,43.6788330078125
2020-10-12,43.919548034668
2020-10-13,43.1716423034668
2020-10-14,43.0856781005859
2020-10-15,42.9739227294922
2020-10-16,43.0083084106445
2020-10-19,42.6558609008789
2020-10-20,43.197437286377
2020-10-21,42.9739227294922
2020-10-22,43.5670890808105
2020-10-23,43.4295387268066
2020-10-26,42.8105926513672
2020-10-27,42.8965606689453
2020-10-28,41.228832244873
2020-10-29,41.2804222106934
2020-10-30,41.3147964477539
2020-11-02,41.7961959838867
2020-11-03,42.423755645752
2020-11-04,42.2690086364746
2020-11-05,42.5011138916016
2020-11-06,42.5097122192383
2020-11-09,45.1918258666992
2020-11-10,46.4039306640625
2020-11-11,46.0600700378418
2020-11-12,45.5700645446777
2020-11-13,45.9483070373535
2020-11-16,46.2921676635742
2020-11-17,46.1460380554199
2020-11-18,45.2262153625488
2020-11-19,45.6732292175293
2020-11-20,45.2777862548828
2020-11-23,45.286376953125
2020-11-24,45.7505950927734
2020-11-25,45.5012893676758
2020-11-27,45.303581237793
2020-11-30,44.7057723999023
2020-12-01,45.0869827270508
2020-12-02,45.1476249694824
2020-12-03,45.7281150817871
2020-12-04,46.6551513671875
2020-12-07,45.9100532531738
2020-12-08,46.0746688842773
2020-12-09,46.2046318054199
2020-12-10,45.962043762207
2020-12-11,46.2219467163086
2020-12-14,46.1526374816895
2020-12-15,46.646484375
2020-12-16,45.9706954956055
2020-12-17,46.1526374816895
2020-12-18,46.5598526000977
2020-12-21,45.754093170166
2020-12-22,45.7107810974121
2020-12-23,45.9880294799805
2020-12-24,46.299934387207
2020-12-28,46.9237327575684
2020-12-29,46.8977317810059
2020-12-30,47.1663208007812
2020-12-31,47.5128746032715
2021-01-04,45.7107810974121
2021-01-05,45.2082710266113
2021-01-06,43.7700691223145
2021-01-07,43.2848815917969
2021-01-08,44.2552490234375
2021-01-11,43.4928245544434
2021-01-12,43.4148445129395
2021-01-13,43.4581604003906
2021-01-14,42.6524276733398
2021-01-15,42.1932373046875
2021-01-19,42.0286178588867
2021-01-20,42.1759071350098
2021-01-21,42.4098281860352
2021-01-22,42.0112991333008
2021-01-25,42.2625427246094
2021-01-26,42.7043991088867
2021-01-27,42.0459480285645
2021-01-28,42.5831069946289
2021-01-29,41.716724395752
2021-02-01,42.002628326416
2021-02-02,42.4184989929199
2021-02-03,42.2538871765137
2021-02-04,42.4618186950684
2021-02-05,43.0163078308105
2021-02-08,43.2502365112305
2021-02-09,43.059627532959
2021-02-10,42.9729804992676
2021-02-11,43.5794677734375
2021-02-12,43.9173545837402
2021-02-16,43.553466796875
2021-02-17,43.4321784973145
2021-02-18,43.9866676330566
2021-02-19,43.4148445129395
2021-02-22,43.8653793334961
2021-02-23,43.7873916625977
2021-02-24,43.9346733093262
2021-02-25,43.4668273925781
2021-02-26,42.4444885253906
2021-03-01,43.23291015625
2021-03-02,43.4061737060547
2021-03-03,43.3022117614746
2021-03-04,43.2675628662109
2021-03-05,44.0039939880371
2021-03-08,44.7404289245605
2021-03-09,44.064640045166
2021-03-10,44.5671424865723
2021-03-11,44.0819702148438
2021-03-12,43.9946136474609
2021-03-15,44.5799255371094
2021-03-16,44.7459144592285
2021-03-17,44.7633781433105
2021-03-18,44.1780624389648
2021-03-19,44.3877334594727
2021-03-22,44.5537147521973
2021-03-23,44.894416809082
2021-03-24,45.0079879760742
2021-03-25,45.4447860717773
2021-03-26,46.3358688354492
2021-03-29,47.0434875488281
2021-03-30,46.4319686889648
2021-03-31,46.0475730895996
2021-04-01,45.872859954834
2021-04-05,46.134937286377
2021-04-06,46.4668998718262
2021-04-07,46.5455169677734
2021-04-08,46.4057426452637
2021-04-09,46.4581642150879
2021-04-12,46.6066741943359
2021-04-13,46.3795394897461
2021-04-14,46.3708000183105
2021-04-15,46.5892066955566
2021-04-16,46.8949699401855
2021-04-19,47.1745262145996
2021-04-20,47.3230323791504
2021-04-21,47.7074165344238
2021-04-22,47.558910369873
2021-04-23,47.5851097106934
2021-04-26,46.8774948120117
2021-04-27,46.8076057434082
2021-04-28,46.8163452148438
2021-04-29,47.4016571044922
2021-04-30,47.1570434570312
2021-05-03,47.5938453674316
2021-05-04,47.2968215942383
2021-05-05,47.1745262145996
2021-05-06,47.6462669372559
2021-05-07,47.620059967041
2021-05-10,47.9694900512695
2021-05-11,47.4540710449219
2021-05-12,47.2094650268555
2021-05-13,47.620059967041
2021-05-14,47.8122482299805
2021-05-17,47.7336158752441
2021-05-18,47.4715385437012
2021-05-19,47.3230323791504
2021-05-20,47.7423553466797
2021-05-21,47.7161521911621
2021-05-24,47.8733978271484
2021-05-25,47.8646659851074
2021-05-26,48.0743293762207
2021-05-27,48.476188659668
2021-05-28,48.3014755249023
2021-06-01,48.2927207946777
2021-06-02,48.484920501709
2021-06-03,48.6072158813477
2021-06-04,49.1313896179199
2021-06-07,48.9566688537598
2021-06-08,48.6159629821777
2021-06-09,48.4674453735352
2021-06-10,48.8431015014648
2021-06-11,49.0614929199219
2021-06-14,48.8942565917969
2021-06-15,48.7710418701172
2021-06-16,48.119701385498
2021-06-17,48.3661575317383
2021-06-18,47.3275337219238
