Data,log_retorno
2020-09-23,0.012869594087425655
2020-09-24,-0.0043917667078392005
2020-09-25,-0.00017827711572026777
2020-09-28,-0.0049634109909930495
2020-09-29,0.0031841806046007896
2020-09-30,-0.003976620557422537
2020-10-01,0.0016746061981072272
2020-10-02,-0.0015868065490773947
2020-10-05,-0.000175854744516779
2020-10-06,0.0038871607400913547
2020-10-07,-0.00546735725607961
2020-10-08,-0.007815910377755182
2020-10-09,-0.0030019005618513073
2020-10-12,-0.0023868356873210485
2020-10-13,0.00745929216890699
2020-10-14,0.0008656376325550327
2020-10-15,0.0011279338459049654
2020-10-16,-0.00034736275574683993
2020-10-19,0.0035736498365884417
2020-10-20,-0.005479271282581106
2020-10-21,0.0022529842017394827
2020-10-22,-0.005953545078142062
2020-10-23,0.0013733270130559109
2020-10-26,0.006233976603120601
2020-10-27,-0.0008712329538194299
2020-10-28,0.0172214388877712
2020-10-29,-0.0005430964210020195
2020-10-30,-0.00036148684099094323
2020-11-02,-0.005031139543966034
2020-11-03,-0.0064723557156067405
2020-11-04,0.001587050501393902
2020-11-05,-0.0023782502707266344
2020-11-06,-8.785248726043714e-05
2020-11-09,-0.026571723400991
2020-11-10,-0.011494880899509547
2020-11-11,0.0032301751994691427
2020-11-12,0.004644950296196058
2020-11-13,-0.0035898707521645045
2020-11-16,-0.0032380029435097667
2020-11-17,0.0013730975160397324
2020-11-18,0.008744173420438976
2020-11-19,-0.0042714719860609054
2020-11-20,0.003776533508396542
2020-11-23,-8.239225586187525e-05
2020-11-24,-0.004429170244811991
2020-11-25,0.002373044036183128
2020-11-27,0.001891169161833796
2020-11-30,0.005768931485440658
2020-12-01,-0.0036875700263636537
2020-12-02,-0.0005837360164926864
2020-12-03,-0.00554839127339701
2020-12-04,-0.008716302703466083
2020-12-07,0.0069918062597482695
2020-12-08,-0.0015544263195736768
2020-12-09,-0.0012232909525750658
2020-12-10,0.0022861818804843117
2020-12-11,-0.002448900666830138
2020-12-14,0.0006517079140290676
2020-12-15,-0.004622392994113945
2020-12-16,0.006337843374931069
2020-12-17,-0.0017154503808171073
2020-12-18,-0.003815072078970867
2020-12-21,0.007581644537692278
2020-12-22,0.0004113097132297398
2020-12-23,-0.0026261585904045095
2020-12-24,-0.0029355744815405087
2020-12-28,-0.005812177140066719
2020-12-29,0.0002407142329276187
2020-12-30,-0.0024801620386025428
2020-12-31,-0.003179306195343674
2021-01-04,0.016792664213030255
2021-01-05,0.004800744574751382
2021-01-06,0.014040665464472949
2021-01-07,0.004840998639463848
2021-01-08,-0.009628555039784522
2021-01-11,0.007547175890850068
2021-01-12,0.0007793629992787351
2021-01-13,-0.0004330885636218148
2021-01-14,0.008127583329698079
2021-01-15,0.004700907003483564
2021-01-19,0.0016977400422200496
2021-01-20,-0.001519324171884749
2021-01-21,-0.002402080688030838
2021-01-22,0.004100401397066417
2021-01-25,-0.002589511197848958
2021-01-26,-0.004516992496485518
2021-01-27,0.006748466157360014
2021-01-28,-0.005513196565355264
2021-01-29,0.008927145504128233
2021-02-01,-0.002966267131831599
2021-02-02,-0.004278829301510623
2021-02-03,0.001688628296001157
2021-02-04,-0.0021319232728977382
2021-02-05,-0.00563453972583112
2021-02-08,-0.0023553553665117185
2021-02-09,0.001918217876000269
2021-02-10,0.0008747925278428812
2021-02-11,-0.006086445682697283
2021-02-12,-0.0033542499651993385
2021-02-16,0.0036134419925549265
2021-02-17,0.001211116458983192
2021-02-18,-0.005509448182895638
2021-02-19,0.005682811727263434
2021-02-22,-0.004483639380019549
2021-02-23,0.0007728135386967979
2021-02-24,-0.0014583256010379923
2021-02-25,0.004649458854055751
2021-02-26,0.010336638044733445
2021-03-01,-0.00799316586520936
2021-03-02,-0.0017370336931984672
2021-03-03,0.0010414245462187896
2021-03-04,0.0003476461590736322
2021-03-05,-0.007329663309019778
2021-03-08,-0.007208046669451915
2021-03-09,0.006609916531233793
2021-03-10,-0.004924562488719799
2021-03-11,0.004753792515006996
2021-03-12,0.0008614886261247608
2021-03-15,-0.0057398305732393445
2021-03-16,-0.0016140493257339465
2021-03-17,-0.00016946579525379862
2021-03-18,0.005716189183693831
2021-03-19,-0.0020563048390151457
2021-03-22,-0.0016209505165711178
2021-03-23,-0.003308414301328753
2021-03-24,-0.0010972644721474229
2021-03-25,-0.004194464553330508
2021-03-26,-0.008433247458025745
2021-03-29,-0.006582199686905394
2021-03-30,0.0056824126025776436
2021-03-31,0.003610351995215184
2021-04-01,0.0016509287261682343
2021-04-05,-0.0024741174152434313
2021-04-06,-0.00311376406916417
2021-04-07,-0.0007341595938269412
2021-04-08,0.0013061310408292023
2021-04-09,-0.0004903175344502998
2021-04-12,-0.0013860684732102876
2021-04-13,0.002121681077965219
2021-04-14,8.184345740617822e-05
2021-04-15,-0.002040726816225499
2021-04-16,-0.002840946312366117
2021-04-19,-0.002581285320735847
2021-04-20,-0.0013650185644601294
2021-04-21,-0.003513333460742822
2021-04-22,0.0013540032901581188
2021-04-23,-0.00023917907664103695
2021-04-26,0.006506680517359157
2021-04-27,0.0006479673350500484
2021-04-28,-8.107977053751646e-05
2021-04-29,-0.005396017486186815
2021-04-30,0.00224695546016191
2021-05-03,-0.004004226357981537
2021-05-04,0.002718838661863309
2021-05-05,0.0011244094519573403
2021-05-06,-0.00432133240531421
2021-05-07,0.00023894156956987225
2021-05-10,-0.003175163672829324
2021-05-11,0.004691625520249418
2021-05-12,0.00224439704502545
2021-05-13,-0.0037608588924455655
2021-05-14,-0.0017492276252289278
2021-05-17,0.0007148316840438121
