Data,log_retorno
2020-09-23,0.04740654881381501
2020-09-24,-0.008401775815395234
2020-09-25,-0.02136043991505166
2020-09-28,-0.014531288480056087
2020-09-29,0.002201763973034351
2020-09-30,-0.010180814813043691
2020-10-01,-0.018965715341340193
2020-10-02,0.033290858765011214
2020-10-05,-0.010940971826654168
2020-10-06,0.012103867154404296
2020-10-07,-0.011716014526588941
2020-10-08,-0.0006326461198855615
2020-10-09,-0.008161728412938427
2020-10-12,-0.008227197584471723
2020-10-13,-0.004250390024021426
2020-10-14,-0.01401611072571394
2020-10-15,0.011853197459288414
2020-10-16,0.009003398974679822
2020-10-19,0.008820907914839188
2020-10-20,0.00905523771317682
2020-10-21,-0.0007199116773788408
2020-10-22,-0.003224822345107863
2020-10-23,0.005295170252952465
2020-10-26,0.00036152673172854883
2020-10-27,-0.004523063103423562
2020-10-28,0.019514386079388123
2020-10-29,-0.005114720217455426
2020-10-30,0.024785646933836607
2020-11-02,-0.013736853190376458
2020-11-03,-0.024650084358278836
2020-11-04,0.0030019823182086554
2020-11-05,-0.017301892669013958
2020-11-06,0.008145386096403326
2020-11-09,0.008867732447208088
2020-11-10,0.01138519596529346
2020-11-11,-0.007106408732888069
2020-11-12,0.005627297168316693
2020-11-13,0.0034520562637329003
2020-11-16,0.00043612820940305396
2020-11-17,-0.03428296590179629
2020-11-18,-0.042168888127044266
2020-11-19,-0.011127685149623527
2020-11-20,0.008485194542779134
2020-11-23,-0.0276953866670468
2020-11-24,-0.0270445478545525
2020-11-25,-0.01432165281439904
2020-11-27,-0.008807815298521413
2020-11-30,0.013677316371179042
2020-12-01,-0.012935273568855795
2020-12-02,0.012002778102417115
2020-12-03,-0.01835803256590535
2020-12-04,-0.004122898979467307
2020-12-07,-0.02991683412804933
2020-12-08,-0.005460523943982379
2020-12-09,0.031451231692047096
2020-12-10,-0.01593408528424584
2020-12-11,0.011993299174688917
2020-12-14,-0.020741891506526087
2020-12-15,0.0044894227904054675
2020-12-16,0.00724751203975784
2020-12-17,-0.02250995090261317
2020-12-18,-0.025147187264407473
2020-12-21,0.029165017696598478
2020-12-22,0.006409156898959241
2020-12-23,-0.003808419476892285
2020-12-24,-0.010488009194732261
2020-12-28,-0.0012581974683991296
2020-12-29,-0.0015024560460447146
2020-12-30,-0.018379595374061954
2020-12-31,-0.00675432714943207
2021-01-04,-0.014584364355619554
2021-01-05,-0.0031663224399481895
2021-01-06,-0.012157972588121452
2021-01-07,-0.03320114810208505
2021-01-08,-0.032781085220463024
2021-01-11,0.03536994741081115
2021-01-12,-0.020010119710783033
2021-01-13,-0.002533630817547253
2021-01-14,0.0048096467979106055
2021-01-15,0.009792543369420878
2021-01-19,-0.009561210086297739
2021-01-20,-0.003023431734372275
2021-01-21,0.002797227395756709
2021-01-22,-0.000847195003426091
2021-01-25,-0.01717855566818569
2021-01-26,-0.0011276651127590735
2021-01-27,0.009410802990254385
2021-01-28,0.014684130213900888
2021-01-29,0.022346680635034727
2021-02-01,-0.024617689928357563
2021-02-02,-0.016728694548079036
2021-02-03,0.009101126822601472
2021-02-04,0.0023948281643848893
2021-02-05,-0.001143012357574962
2021-02-08,-0.005665302944341842
2021-02-09,0.007079197720903612
2021-02-10,0.023444132731842808
2021-02-11,-0.003675381400145628
2021-02-12,-0.0023798725308466647
2021-02-16,0.010720934932007625
2021-02-17,-0.0010513984506809375
2021-02-18,0.00590013298103449
2021-02-19,0.0033665645122491123
2021-02-22,0.03881555815887812
2021-02-23,0.009624480151817237
2021-02-24,-0.02603784249191887
2021-02-25,0.036491166618812805
2021-02-26,0.004299074954750666
2021-03-01,-0.02675910081422021
2021-03-02,0.01978187014450824
2021-03-03,0.021556409657242218
2021-03-04,0.02164697858267218
2021-03-05,0.016734337591978097
2021-03-08,0.026156461384219835
2021-03-09,-0.07788078796778264
2021-03-10,0.0035737368860838488
2021-03-11,-0.020034337419695136
2021-03-12,0.0036593220489722
2021-03-15,-0.008805970575774178
2021-03-16,0.019484768265062593
2021-03-17,-0.015707865791173073
2021-03-18,0.03119995837650031
2021-03-19,-0.0011354994283729314
2021-03-22,-0.009919710582012797
2021-03-23,0.00511184821738881
2021-03-24,0.02143631637561215
2021-03-25,-0.006917912950551954
2021-03-26,0.014957411734381835
2021-03-29,0.0052398320718355556
2021-03-30,-0.016950263702373104
2021-03-31,-0.02153337444261736
2021-04-01,0.004036995547072224
2021-04-05,-0.018815542856414003
2021-04-06,-0.0003580480801305036
2021-04-07,0.013164437288208581
2021-04-08,-0.008226004791150363
2021-04-09,0.004327587404349376
2021-04-12,-0.015723225253682586
2021-04-13,-0.03581259055733178
2021-04-14,0.017489820116300667
2021-04-15,-0.003908783525480354
2021-04-16,-0.0005463039852962651
2021-04-19,0.015021338129777548
2021-04-20,-0.002641588114887711
2021-04-21,-0.014920121454174998
2021-04-22,0.014497495902533459
2021-04-23,-0.005820285606949296
2021-04-26,-0.0052082837205941895
2021-04-27,0.020145122973029804
2021-04-28,0.006419217283277396
2021-04-29,0.011021020334299646
2021-04-30,-0.02032698511440319
2021-05-03,0.015288491572789376
2021-05-04,0.007225079750598317
2021-05-05,0.001718406333544686
2021-05-06,0.004816591867610133
2021-05-07,-0.005741240360861003
2021-05-10,0.028930086936256805
2021-05-11,0.008252321507477588
2021-05-12,0.019654881260512885
2021-05-13,0.013610435671083089
2021-05-14,-0.013499980447652127
2021-05-17,0.009612737373923597
2021-05-18,-0.0007823044197956572
2021-05-19,0.01096704867611547
2021-05-20,-0.017612205313003424
2021-05-21,0.0043888971878894645
