Date,Adjusted
2020-09-22,141.410003662109
2020-09-23,126.786666870117
2020-09-24,129.263336181641
2020-09-25,135.779998779297
2020-09-28,140.399993896484
2020-09-29,139.690002441406
2020-09-30,143.003326416016
2020-10-01,149.386672973633
2020-10-02,138.363327026367
2020-10-05,141.893325805664
2020-10-06,137.99333190918
2020-10-07,141.766662597656
2020-10-08,141.973327636719
2020-10-09,144.66667175293
2020-10-12,147.433334350586
2020-10-13,148.883331298828
2020-10-14,153.766662597656
2020-10-15,149.626663208008
2020-10-16,146.556671142578
2020-10-19,143.610000610352
2020-10-20,140.646667480469
2020-10-21,140.880004882812
2020-10-22,141.929992675781
2020-10-23,140.210006713867
2020-10-26,140.093338012695
2020-10-27,141.559997558594
2020-10-28,135.339996337891
2020-10-29,136.943328857422
2020-10-30,129.346664428711
2020-11-02,133.503326416016
2020-11-03,141.300003051758
2020-11-04,140.32666015625
2020-11-05,146.029998779297
2020-11-06,143.316665649414
2020-11-09,140.419998168945
2020-11-10,136.786666870117
2020-11-11,139.043334960938
2020-11-12,137.253326416016
2020-11-13,136.16667175293
2020-11-16,136.029998779297
2020-11-17,147.203338623047
2020-11-18,162.213333129883
2020-11-19,166.42333984375
2020-11-20,163.203338623047
2020-11-23,173.949996948242
2020-11-24,185.126663208008
2020-11-25,191.33332824707
2020-11-27,195.253326416016
2020-11-30,189.199996948242
2020-12-01,194.919998168945
2020-12-02,189.606674194336
2020-12-03,197.793334960938
2020-12-04,199.679992675781
2020-12-07,213.919998168945
2020-12-08,216.626663208008
2020-12-09,201.49333190918
2020-12-10,209.023330688477
2020-12-11,203.330001831055
2020-12-14,213.276672363281
2020-12-15,211.08332824707
2020-12-16,207.589996337891
2020-12-17,218.633331298828
2020-12-18,231.66667175293
2020-12-21,216.619995117188
2020-12-22,213.446670532227
2020-12-23,215.32666015625
2020-12-24,220.589996337891
2020-12-28,221.229995727539
2020-12-29,221.996673583984
2020-12-30,231.593338012695
2020-12-31,235.223327636719
2021-01-04,243.25666809082
2021-01-05,245.036666870117
2021-01-06,251.99333190918
2021-01-07,272.013336181641
2021-01-08,293.339996337891
2021-01-11,270.396667480469
2021-01-12,283.146667480469
2021-01-13,284.803344726562
2021-01-14,281.666656494141
2021-01-15,275.386657714844
2021-01-19,281.516662597656
2021-01-20,283.483337402344
2021-01-21,281.663330078125
2021-01-22,282.213317871094
2021-01-25,293.600006103516
2021-01-26,294.363342285156
2021-01-27,288.053344726562
2021-01-28,278.476654052734
2021-01-29,264.510009765625
2021-02-01,279.936676025391
2021-02-02,290.929992675781
2021-02-03,284.896667480469
2021-02-04,283.329986572266
2021-02-05,284.07666015625
2021-02-08,287.806671142578
2021-02-09,283.1533203125
2021-02-10,268.273345947266
2021-02-11,270.553344726562
2021-02-12,272.040008544922
2021-02-16,265.406677246094
2021-02-17,266.049987792969
2021-02-18,262.459991455078
2021-02-19,260.433319091797
2021-02-22,238.16667175293
2021-02-23,232.946670532227
2021-02-24,247.339996337891
2021-02-25,227.406661987305
2021-02-26,225.16667175293
2021-03-01,239.476669311523
2021-03-02,228.813339233398
2021-03-03,217.733337402344
2021-03-04,207.146667480469
2021-03-05,199.316665649414
2021-03-08,187.66667175293
2021-03-09,224.526672363281
2021-03-10,222.686660766602
2021-03-11,233.199996948242
2021-03-12,231.24333190918
2021-03-15,235.979995727539
2021-03-16,225.626663208008
2021-03-17,233.936660766602
2021-03-18,217.720001220703
2021-03-19,218.289993286133
2021-03-22,223.33332824707
2021-03-23,220.720001220703
2021-03-24,210.089996337891
2021-03-25,213.463333129883
2021-03-26,206.236663818359
2021-03-29,203.763336181641
2021-03-30,211.873336791992
2021-03-31,222.643325805664
2021-04-01,220.58332824707
2021-04-05,230.350006103516
2021-04-06,230.539993286133
2021-04-07,223.656661987305
2021-04-08,227.933334350586
2021-04-09,225.67333984375
2021-04-12,233.99333190918
2021-04-13,254.106674194336
2021-04-14,244.07666015625
2021-04-15,246.283340454102
2021-04-16,246.593338012695
2021-04-19,238.210006713867
2021-04-20,239.663330078125
2021-04-21,248.039993286133
2021-04-22,239.896667480469
2021-04-23,243.133331298828
2021-04-26,246.066665649414
2021-04-27,234.913330078125
2021-04-28,231.466659545898
2021-04-29,225.66667175293
2021-04-30,236.479995727539
2021-05-03,228.300003051758
2021-05-04,224.533340454102
2021-05-05,223.646667480469
2021-05-06,221.179992675781
2021-05-07,224.123336791992
2021-05-10,209.679992675781
2021-05-11,205.733337402344
2021-05-12,196.630004882812
2021-05-13,190.563339233398
2021-05-14,196.580001831055
2021-05-17,192.276672363281
2021-05-18,192.623336791992
2021-05-19,187.820007324219
2021-05-20,195.593338012695
2021-05-21,193.626663208008
2021-05-24,202.146667480469
2021-05-25,201.563339233398
2021-05-26,206.376663208008
2021-05-27,210.283340454102
2021-05-28,208.406661987305
2021-06-01,207.966659545898
2021-06-02,201.706665039062
2021-06-03,190.946670532227
2021-06-04,199.683334350586
2021-06-07,201.710006713867
2021-06-08,201.196670532227
2021-06-09,199.593338012695
2021-06-10,203.373336791992
2021-06-11,203.296661376953
2021-06-14,205.896667480469
2021-06-15,199.786666870117
2021-06-16,201.623336791992
2021-06-17,205.533340454102
2021-06-18,207.770004272461
2021-06-21,206.943328857422
2021-06-22,207.903335571289
2021-06-23,218.856674194336
2021-06-24,226.606674194336
2021-06-25,223.956665039062
2021-06-28,229.573333740234
2021-06-29,226.919998168945
2021-06-30,226.566665649414
2021-07-01,225.973327636719
2021-07-02,226.300003051758
2021-07-06,219.860000610352
2021-07-07,214.883331298828
